Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
l_thumb_tip_Link,-0.467676831252841,0.0503908634746623,-0.0161877837322177,0,0,0,1.3604423430361,0.010826010663876,-2.36896908304622E-05,6.4747292420424E-06,0.112314099678239,0.000178087137949006,0.102779960315736,0,0,0,0,0,0,package://323Assembase_limit3/meshes/l_thumb_tip_Link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://323Assembase_limit3/meshes/l_thumb_tip_Link.STL,,fingertip-3,Orgin_l_thumb_tip,Axis_l_thumb_tip,l_thumb_tip,revolute,0.0054723,-0.015035,0.00012492,0,0,0,l_thumb_middle_Link,0,0.0083086,0.99997,0,0,0,1.5708,,,,,,,,
l_index_base_Link,-0.472719749532897,-0.0212123133426343,-0.0372303111607363,0,0,0,1.3604423430361,0.010826010663876,-2.36896908304756E-05,6.47472924204847E-06,0.112314099678239,0.000178087137949009,0.102779960315736,0,0,0,0,0,0,package://323Assembase_limit3/meshes/l_index_base_Link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://323Assembase_limit3/meshes/l_index_base_Link.STL,,finger_segment2-1,Origin_l_index_base,Axis_l_index_base,l_index_base,revolute,0.017911,0.014902,0.094373,-1.5708,-1.5359,0,l_wrist_Link,0.11366,0.060988,-0.99165,0,0,0,1.5708,,,,,,,,
l_index_middle_Link,-0.487254887781612,-0.0280011488877967,-0.0379384972174282,0,0,0,1.3604423430361,0.010826010663876,-2.36896908304589E-05,6.4747292420359E-06,0.112314099678239,0.000178087137949007,0.102779960315736,0,0,0,0,0,0,package://323Assembase_limit3/meshes/l_index_middle_Link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://323Assembase_limit3/meshes/l_index_middle_Link.STL,,finger_segment-2,Origin_l_index_middle,Axis_l_index_middle,l_index_middle,revolute,0.014535,0.0067888,0.00070819,0,0,0,l_index_base_Link,0.11366,0.060988,-0.99165,0,0,0,1.5708,,,,,,,,
l_index_tip_Link,-0.502199210106304,-0.0334332933780338,-0.0397333524270101,0,0,0,1.3604423430361,0.010826010663876,-2.36896908304756E-05,6.47472924203286E-06,0.112314099678239,0.000178087137949008,0.102779960315736,0,0,0,0,0,0,package://323Assembase_limit3/meshes/l_index_tip_Link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://323Assembase_limit3/meshes/l_index_tip_Link.STL,,fingertip-1,Origin_l_index_tip,Axis_l_index_tip,l_index_tip,revolute,0.014944,0.0054321,0.0017949,0,0,0,l_index_middle_Link,0.11366,0.060988,-0.99165,0,0,0,1.5708,,,,,,,,
head_pan_Link,-0.000696471391857217,-0.0121649749441773,0.0120690920533081,0,0,0,0.0545238187463741,1.43370693835164E-05,-6.47588162430242E-10,3.44113177968006E-07,1.01576293785236E-05,8.44322868452495E-10,1.43124087682231E-05,0,0,0,0,0,0,package://323Assembase_limit3/meshes/head_pan_Link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://323Assembase_limit3/meshes/head_pan_Link.STL,,head_2xl^323Assembase_limit1-1,Origin_head_pan,Axis_head_pan,head_pan,revolute,-0.012051,0,0.3059,0,0,1.5708,base_link,0,0,1,0,0,-1.5708,1.5708,,,,,,,,
head_tilt_Link,0.0298038345161363,0.0528266562007575,0.0240222090935989,0,0,0,0.098325768394096,4.24095314514464E-05,1.21628536469904E-07,3.1791479497428E-10,5.37581176353636E-05,9.41670726442259E-10,2.04343779695757E-05,0,0,0,0,0,0,package://323Assembase_limit3/meshes/head_tilt_Link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://323Assembase_limit3/meshes/head_tilt_Link.STL,,head_link-1,Orgin_head_tilt,Axis_head_tilt,head_tilt,revolute,0.024,-0.013,0.013,1.5708,0,-1.5708,head_pan_Link,0,0,-1,0,0,-0.61087,0.61087,,,,,,,,
r_sho_pitch_Link,0.000540682415763577,-5.55111512312578E-17,0.0245654835477484,0,0,0,0.0454925431228223,1.0654314308777E-05,3.10360380835615E-20,1.18102281196333E-09,1.24319823177088E-05,-3.20398754724841E-20,7.521752614399E-06,0,0,0,0,0,0,package://323Assembase_limit3/meshes/r_sho_pitch_Link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://323Assembase_limit3/meshes/r_sho_pitch_Link.STL,,left_link1 v1-2,Orgin_r_sho_pitch,Axis_r_sho_pitch,r_sho_pitch,revolute,-0.012051,-0.09965,0.26225,1.5708,0,0,base_link,0,0,-1,0,0,-1.9635,1.9635,,,,,,,,
r_sho_roll_Link,-0.114571171376653,0.000361112480180725,-0.0234000013547074,0,0,0,0.0683067367253008,1.14188782475941E-05,-1.22522621832662E-09,7.03692794728026E-13,2.35950770146494E-05,1.56850087153504E-13,2.34186461853649E-05,0,0,0,0,0,0,package://323Assembase_limit3/meshes/r_sho_roll_Link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://323Assembase_limit3/meshes/r_sho_roll_Link.STL,,left_link2 v1-2,Orgin_r_sho_roll,Axis_r_sho_roll,r_sho_roll,revolute,0.0234,0,0.03735,0,1.5708,0,r_sho_pitch_Link,0,0,-1,0,0,-1.9635,1.9635,,,,,,,,
r_el_Link,-0.0548996145542995,-1.58370669052221E-05,-0.0234250172991484,0,0,0,0.0174053024608171,2.60006576705227E-06,-1.56559980629803E-11,1.319758258888E-12,5.6487473356839E-06,-6.78407779197865E-11,4.44823753787192E-06,0,0,0,0,0,0,package://323Assembase_limit3/meshes/r_el_Link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://323Assembase_limit3/meshes/r_el_Link.STL,,left_link3-2,Origin_r_el_link,Axis_r_el_link,r_el,revolute,-0.14975,0.0234,-0.0234,-1.5708,0,0,r_sho_roll_Link,0,0,-1,0,0,-1.9635,1.9635,,,,,,,,
r_wrist_Link,-0.00321577353432781,-2.28066577567798E-07,0.043774836595192,0,0,0,0.242911229853577,0.000202633540533886,3.65740042148417E-09,1.71296972145778E-05,0.000193537968669788,-1.24734937048739E-09,0.00011328934949397,0,0,0,0,0,0,package://323Assembase_limit3/meshes/r_wrist_Link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://323Assembase_limit3/meshes/r_wrist_Link.STL,,RH2D-2,Origin_r_wrist,Axis_r_wrist,r_wrist,revolute,-0.0910000000000099,-0.000112860367308509,-0.0235570000250147,1.5707963267949,0,-1.57079632679488,r_el_Link,0,0,-1,0,0,-1.5708,1.5708,,,,,,,,
r_index_base_Link,-0.472660750561615,-0.0208622725478406,0.0373511579691946,0,0,0,1.3604423430361,0.010826010663876,2.36896908304758E-05,6.47472924207484E-06,0.112314099678239,-0.000178087137949001,0.102779960315736,0,0,0,0,0,0,package://323Assembase_limit3/meshes/r_index_base_Link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://323Assembase_limit3/meshes/r_index_base_Link.STL,,finger_segment2-5,Origin_r_index_base,Axis_r_index_base,r_index_base,revolute,-0.014482,0.015023,0.09494,1.5708,-1.5708,0,r_wrist_Link,-0.11366,-0.069226,-0.99111,0,0,0,1.5708,,,,,,,,
r_index_middle_Link,-0.487195884818587,-0.0276449893263672,0.0381157258335041,0,0,0,1.3604423430361,0.010826010663876,2.3689690830476E-05,6.47472924207527E-06,0.112314099678239,-0.000178087137949001,0.102779960315736,0,0,0,0,0,0,package://323Assembase_limit3/meshes/r_index_middle_Link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://323Assembase_limit3/meshes/r_index_middle_Link.STL,,finger_segment-4,Origin_r_index_middle,Axis_r_index_middle,r_index_middle,revolute,0.014535,0.0067827,-0.00076457,0,0,0,r_index_base_Link,-0.11366,-0.069226,-0.99111,0,0,0,1.5708,,,,,,,,
r_index_tip_Link,-0.502111792271464,-0.0330447274487438,0.0402034291508733,0,0,0,1.3604423430361,0.010826010663876,2.36896908304621E-05,6.47472924206443E-06,0.112314099678239,-0.000178087137948999,0.102779960315736,0,0,0,0,0,0,package://323Assembase_limit3/meshes/r_index_tip_Link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://323Assembase_limit3/meshes/r_index_tip_Link.STL,,fingertip-4,Origin_r_index_tip,Axis__r_index_tip,r_index_tip,revolute,0.0149159074528774,0.00539973812237651,-0.00208770331736918,0,0,0,r_index_middle_Link,-0.113659425402711,-0.0692255742308792,-0.991105117981706,0,0,0,1.5708,,,,,,,,
r_mid_base_Link,-0.471467326594887,-0.0201354040184166,-0.003101248007744,0,0,0,1.3604423430361,0.010826010663876,2.3689690830476E-05,6.4747292420692E-06,0.112314099678239,-0.000178087137949001,0.102779960315736,0,0,0,0,0,0,package://323Assembase_limit3/meshes/r_mid_base_Link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://323Assembase_limit3/meshes/r_mid_base_Link.STL,,finger_segment2-6,origin_r_mid_base,Axis_r_mid_base,r_mid_base,revolute,-0.013755,-0.02543,0.093747,1.5708,-1.5708,0,r_wrist_Link,0.11366,0.069226,-0.99111,0,0,0,1.5708,,,,,,,,
r_mid_middle_Link,-0.485692437640989,-0.0267292976111735,-0.0065692044374728,0,0,0,1.3604423430361,0.010826010663876,2.36896908304621E-05,6.47472924206096E-06,0.112314099678239,-0.000178087137948999,0.102779960315736,0,0,0,0,0,0,package://323Assembase_limit3/meshes/r_mid_middle_Link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://323Assembase_limit3/meshes/r_mid_middle_Link.STL,,finger_segment-5,Origin_r_mid_middle,Axis_r_mid_middle,r_mid_middle,revolute,0.014225,0.0065939,0.003468,0,0,0,r_mid_base_Link,0.11366,0.069226,-0.99111,0,0,0,1.5708,,,,,,,,
r_mid_tip_Link,-0.500608345093866,-0.0321290357335499,-0.00865690775484196,0,0,0,1.3604423430361,0.010826010663876,2.36896908304597E-05,6.47472924203841E-06,0.112314099678239,-0.000178087137949002,0.102779960315736,0,0,0,0,0,0,package://323Assembase_limit3/meshes/r_mid_tip_Link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://323Assembase_limit3/meshes/r_mid_tip_Link.STL,,fingertip-5,Origin_r_mid_tip,Axis_r_mid_tip,r_mid_tip,revolute,0.0149159074528774,0.00539973812237651,0.00208770331736916,0,0,0,r_mid_middle_Link,0.113659425402707,0.0692255742308725,-0.991105117981707,0,0,0,1.5708,,,,,,,,
r_thumb_base_Link,-0.456673179253306,0.0204934397205109,0.0170782568501292,0,0,0,1.3604423430361,0.010826010663876,2.36896908304619E-05,6.47472924206356E-06,0.112314099678239,-0.000178087137948999,0.102779960315736,0,0,0,0,0,0,package://323Assembase_limit3/meshes/r_thumb_base_Link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://323Assembase_limit3/meshes/r_thumb_base_Link.STL,,finger_segment2-7,Orgin_r_thumb_base,Axis_r_thumb_base,r_thumb_base,revolute,0.026873,-0.00525,0.078953,1.5708,-1.5708,0,r_wrist_Link,0,0,1,0,0,0,1.5708,,,,,,,,
r_thumb_middle_Link,-0.462145512536487,0.0355285189152613,0.0157144307964265,0,0,0,1.3604423430361,0.010826010663876,2.36896908304756E-05,6.47472924207093E-06,0.112314099678239,-0.000178087137949001,0.102779960315736,0,0,0,0,0,0,package://323Assembase_limit3/meshes/r_thumb_middle_Link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://323Assembase_limit3/meshes/r_thumb_middle_Link.STL,,finger_segment-6,Origin_r_thumb_middle,Axis_r_thumb_middle,r_thumb_middle,revolute,0.0054723,-0.015035,0.0013638,0,0,0,r_thumb_base_Link,0,0,1,0,0,0,1.5708,,,,,,,,
r_thumb_tip_Link,-0.468907404443901,0.0500294425604269,0.0157144307964266,0,0,0,1.3604423430361,0.010826010663876,2.36896908304621E-05,6.47472924206443E-06,0.112314099678239,-0.000178087137948999,0.102779960315736,0,0,0,0,0,0,package://323Assembase_limit3/meshes/r_thumb_tip_Link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://323Assembase_limit3/meshes/r_thumb_tip_Link.STL,,fingertip-6,Origin_r_thumb_tip,Axis_r_thumb_tip,r_thumb_tip,revolute,0.0067619,-0.014501,0,0,0,0,r_thumb_middle_Link,0,0,1,0,0,0,1.5708,,,,,,,,
